,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Asfi,MA,32.2994,-9.2372,55.62,53,48,16.51,scattered clouds
135,Kontagora,NG,10.3999,5.4695,75.94,22,24,6.53,few clouds
136,Price,US,39.5994,-110.8107,34.86,40,0,0.0,clear sky
137,Bestobe,KZ,52.4994,73.0975,-3.93,97,8,6.62,clear sky
138,Carnarvon,AU,-24.8667,113.6333,78.87,36,0,17.27,clear sky
139,Lincoln,US,40.8,-96.667,28.29,45,0,3.0,clear sky
140,Mae Sot,TH,16.7167,98.5667,61.54,81,22,1.01,few clouds
141,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,86,9.22,light rain
142,Upernavik,GL,72.7868,-56.1549,1.06,98,100,11.34,overcast clouds
143,Rocha,UY,-34.4833,-54.3333,68.52,81,0,11.95,clear sky
144,Newark,US,40.7357,-74.1724,41.02,91,100,10.0,light rain
145,Miri,MY,4.4148,114.0089,78.58,86,89,7.05,overcast clouds
146,Talnakh,RU,69.4865,88.3972,-3.8,97,100,3.22,light snow
147,Champerico,GT,14.3,-91.9167,83.77,68,47,9.62,scattered clouds
148,Mount Gambier,AU,-37.8333,140.7667,76.64,42,47,7.2,scattered clouds
149,Gizo,SB,-8.103,156.8419,82.54,78,43,11.39,moderate rain
150,Maceio,BR,-9.6658,-35.7353,79.52,82,19,9.51,few clouds
151,Meulaboh,ID,4.1363,96.1285,74.75,94,100,3.67,moderate rain
152,Cookeville,US,36.1628,-85.5016,42.78,78,100,5.01,overcast clouds
153,Owando,CG,-0.4819,15.8999,74.97,71,48,1.48,scattered clouds
154,Korla,CN,41.7597,86.1469,23.92,65,100,5.84,overcast clouds
155,Maues,BR,-3.3836,-57.7186,71.69,97,100,2.75,overcast clouds
156,Tsiroanomandidy,MG,-18.7667,46.0333,68.23,90,100,1.95,overcast clouds
157,Trabzon,TR,40.9167,39.8333,55.49,36,75,6.91,broken clouds
158,Ambilobe,MG,-13.2,49.05,74.52,94,100,1.16,overcast clouds
159,Yar-Sale,RU,66.8333,70.8333,-10.35,98,86,7.27,overcast clouds
160,Clarence Town,AU,-32.5833,151.7833,87.15,54,15,4.63,few clouds
161,Sioux Lookout,CA,50.1001,-91.917,-13.18,88,100,10.96,overcast clouds
162,El Alto,PE,-4.2714,-81.2147,70.18,79,41,16.17,scattered clouds
163,Chuy,UY,-33.6971,-53.4616,69.87,79,0,13.35,clear sky
164,Neuquen,AR,-38.9516,-68.0591,84.09,45,0,3.44,clear sky
165,Constitucion,CL,-35.3333,-72.4167,61.09,86,16,7.25,few clouds
166,Faanui,PF,-16.4833,-151.75,81.75,71,66,4.36,broken clouds
167,Olean,US,42.0776,-78.4297,36.28,80,100,11.5,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,73.76,62,100,2.8,overcast clouds
169,San Rafael,AR,-34.6177,-68.3301,87.12,27,92,8.63,overcast clouds
170,Fort-Shevchenko,KZ,44.5086,50.263,37.04,80,23,19.19,few clouds
171,Nelson Bay,AU,-32.7167,152.15,87.3,72,2,1.99,clear sky
172,Polunochnoye,RU,60.8697,60.4153,2.7,93,98,5.1,overcast clouds
173,Khatanga,RU,71.9667,102.5,-8.03,94,57,5.21,broken clouds
174,Yate,GB,51.5407,-2.4184,45.73,92,99,2.64,overcast clouds
175,Ugoofaaru,MV,5.6667,73.0,80.87,73,93,8.37,overcast clouds
176,Esperance,AU,-33.8667,121.9,63.18,65,100,15.93,overcast clouds
177,Itatskiy,RU,56.07,89.0369,18.3,92,94,17.18,light snow
178,Hobyo,SO,5.3505,48.5268,76.68,68,7,19.51,clear sky
179,Naze,JP,28.3667,129.4833,58.91,73,95,10.42,overcast clouds
180,Mehamn,NO,71.0357,27.8492,31.12,74,100,23.29,light snow
181,Abu Samrah,SY,35.3029,37.1841,52.7,63,41,11.77,scattered clouds
182,Wilmington,US,34.2257,-77.9447,64.98,78,20,5.75,few clouds
183,Velyka Bilozerka,UA,47.2776,34.7062,37.78,93,100,6.91,overcast clouds
184,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,6.91,broken clouds
185,Maniitsoq,GL,65.4167,-52.9,9.79,90,100,4.85,light snow
186,Plettenberg Bay,ZA,-34.0527,23.3716,72.01,68,100,6.76,overcast clouds
187,Dehui,CN,44.5333,125.7,3.88,96,100,3.69,overcast clouds
188,Serenje,ZM,-13.2325,30.2352,62.71,94,97,1.74,light rain
189,Faya,SA,18.3851,42.4509,52.32,64,5,3.09,clear sky
190,Laguna,US,38.421,-121.4238,61.3,67,0,1.01,clear sky
191,Camacha,PT,33.0833,-16.3333,62.53,88,40,10.36,scattered clouds
192,Derbent,RU,42.0678,48.2899,44.4,86,100,10.94,overcast clouds
193,Vesoul,FR,47.5833,5.8333,37.63,94,77,1.57,broken clouds
194,Abu Dhabi,AE,24.4667,54.3667,66.96,74,20,0.0,few clouds
195,Saint George,US,37.1041,-113.5841,57.67,30,0,1.99,clear sky
196,Coihaique,CL,-45.5752,-72.0662,62.55,51,75,8.05,broken clouds
197,Vestmanna,FO,62.1564,-7.1664,41.92,93,100,20.71,overcast clouds
198,Poronaysk,RU,49.2167,143.1167,12.07,84,100,5.03,light snow
199,Matay,EG,28.419,30.7792,50.18,45,4,7.29,clear sky
200,Avera,US,33.194,-82.5271,69.67,87,53,6.76,broken clouds
201,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,85,11.45,overcast clouds
202,Balikpapan,ID,-1.2675,116.8289,76.19,83,20,0.0,moderate rain
203,Bubaque,GW,11.2833,-15.8333,79.52,69,96,18.81,overcast clouds
204,Port Blair,IN,11.6667,92.75,78.06,76,67,7.29,broken clouds
205,Halifax,CA,44.6453,-63.5724,43.09,94,100,8.01,overcast clouds
206,Cabo San Lucas,MX,22.8909,-109.9124,76.6,79,100,0.0,overcast clouds
207,Santiago,CL,-33.4569,-70.6483,77.18,44,0,11.5,clear sky
208,Cidreira,BR,-30.1811,-50.2056,72.43,72,42,18.05,scattered clouds
209,Dharur,IN,18.8167,76.1167,61.74,64,54,7.0,broken clouds
210,Tasiilaq,GL,65.6145,-37.6368,32.16,70,100,47.83,overcast clouds
211,Aitape,PG,-3.1374,142.3475,81.81,75,40,8.59,scattered clouds
212,Tilichiki,RU,60.4667,166.1,-5.17,92,74,7.36,broken clouds
213,Lompoc,US,34.6391,-120.4579,69.08,79,0,12.66,clear sky
214,Lumeje,AO,-11.55,20.7833,65.97,93,100,4.41,light rain
215,Hambantota,LK,6.1241,81.1185,75.52,88,100,9.75,overcast clouds
216,Ostrovnoy,RU,68.0531,39.5131,27.43,68,100,20.92,light snow
217,Moree,AU,-29.4667,149.85,89.62,43,40,10.36,scattered clouds
218,Beringovskiy,RU,63.05,179.3167,-11.22,83,2,12.03,clear sky
219,Mezen,RU,65.8522,44.24,7.23,95,86,10.63,light snow
220,Yarmouth,US,41.7057,-70.2286,48.34,85,100,20.0,overcast clouds
221,Clyde River,CA,70.4692,-68.5914,-20.25,98,100,7.52,overcast clouds
222,La Libertad,EC,-2.2333,-80.9,75.0,77,93,7.94,overcast clouds
223,Nanortalik,GL,60.1432,-45.2371,19.17,79,100,33.84,overcast clouds
224,Rorvik,NO,64.8621,11.2373,25.59,75,3,14.97,clear sky
225,Ust-Tsilma,RU,65.441,52.1498,5.77,95,100,6.87,overcast clouds
226,Limon,CR,10.0,-83.0333,75.09,83,0,0.0,clear sky
227,Sassandra,CI,4.95,-6.0833,78.8,87,87,5.35,overcast clouds
228,Nuuk,GL,64.1835,-51.7216,14.61,79,75,1.14,light shower snow
229,Sorland,NO,67.667,12.6934,32.34,63,7,7.14,clear sky
230,Saint-Louis,SN,16.3333,-15.0,77.31,12,100,6.26,overcast clouds
231,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.04,89,99,7.61,overcast clouds
232,Iquique,CL,-20.2208,-70.1431,69.71,77,29,2.77,scattered clouds
233,La Rioja,ES,42.25,-2.5,49.05,90,100,17.9,light rain
234,Glendive,US,47.1053,-104.7125,9.23,78,0,4.61,clear sky
235,Santa Maria,BR,-29.6842,-53.8069,71.6,45,0,8.16,clear sky
236,Berdigestyakh,RU,62.0989,126.6992,-40.5,100,68,1.66,broken clouds
237,Rafai,CF,4.95,23.9167,74.43,46,61,1.72,broken clouds
238,Chase,CA,50.8165,-119.6857,29.19,98,96,3.78,overcast clouds
239,Nemuro,JP,43.3236,145.575,14.43,64,11,10.85,few clouds
240,Kalakamati,BW,-20.5929,27.3121,67.8,73,100,8.99,overcast clouds
241,Bethel,US,41.3712,-73.414,38.1,90,100,1.99,moderate rain
242,Puerto Escondido,MX,15.85,-97.0667,81.43,74,40,0.0,scattered clouds
243,Pangnirtung,CA,66.1451,-65.7125,-25.19,84,26,5.61,scattered clouds
