City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Whitianga,NZ,2022-01-03 19:48:06,-36.8333,175.7,73.02,71,100,3.6
169,Ahipara,NZ,2022-01-03 19:43:39,-35.1667,173.1667,68.9,64,73,4.74
170,San Quintin,MX,2022-01-03 19:48:06,30.4833,-115.95,61.07,50,99,10.47
171,Bykovo,RU,2022-01-03 19:48:06,55.6361,38.0803,18.3,86,40,4.47
172,Airai,TL,2022-01-03 19:48:07,-8.9266,125.4092,61.05,95,100,1.03
173,Grand Gaube,MU,2022-01-03 19:48:07,-20.0064,57.6608,79.2,77,67,1.99
174,Carutapera,BR,2022-01-03 19:48:07,-1.195,-46.02,77.31,91,100,4.32
175,Veraval,IN,2022-01-03 19:48:08,20.9,70.3667,72.25,72,14,7.25
176,Garissa,KE,2022-01-03 19:48:08,-0.4536,39.6401,84.02,46,13,7.92
177,Kearney,US,2022-01-03 19:48:08,40.6995,-99.0815,47.32,47,1,14.0
178,Kavieng,PG,2022-01-03 19:48:09,-2.5744,150.7967,80.65,79,95,6.58
179,Pisco,PE,2022-01-03 19:44:07,-13.7,-76.2167,77.02,83,0,9.22
180,Gawler,AU,2022-01-03 19:45:46,-34.6,138.7333,59.23,76,0,6.22
181,Ardu,EE,2022-01-03 19:49:09,59.0986,25.3541,33.15,99,100,3.8
182,San Patricio,US,2022-01-03 19:49:09,28.017,-97.5169,57.29,22,0,3.94
183,Baykit,RU,2022-01-03 19:49:09,61.67,96.37,-7.33,100,99,2.1
184,Manzhouli,CN,2022-01-03 19:49:10,49.6,117.4333,-9.02,94,9,4.21
185,Yurginskoye,RU,2022-01-03 19:49:10,56.8189,67.3921,25.48,95,100,11.79
186,Rio Casca,BR,2022-01-03 19:49:10,-20.2261,-42.6508,72.16,97,100,4.12
187,Labuhan,ID,2022-01-03 19:49:11,-6.8844,112.2051,77.0,82,100,9.17
188,Baghdad,IQ,2022-01-03 19:48:29,33.3406,44.4009,40.91,100,20,3.44
189,Chara,RU,2022-01-03 19:49:11,56.9064,118.2631,-21.48,90,60,0.31
190,Wonthaggi,AU,2022-01-03 19:49:11,-38.6044,145.5913,63.19,86,82,2.93
191,Tasiilaq,GL,2022-01-03 19:49:11,65.6145,-37.6368,21.36,62,100,9.4
192,Port Lincoln,AU,2022-01-03 19:49:12,-34.7333,135.8667,58.24,77,29,12.57
193,Ostrovnoy,RU,2022-01-03 19:49:12,68.0531,39.5131,16.09,84,100,15.48
194,Chapais,CA,2022-01-03 19:49:12,49.7834,-74.8492,-4.22,89,100,5.99
195,Sibolga,ID,2022-01-03 19:49:13,1.7427,98.7792,75.72,89,25,3.06
196,Te Anau,NZ,2022-01-03 19:49:13,-45.4167,167.7167,61.36,77,100,0.65
197,Marsh Harbour,BS,2022-01-03 19:49:13,26.5412,-77.0636,77.81,73,1,17.38
198,Ranfurly,NZ,2022-01-03 19:49:13,-45.1333,170.1,58.06,75,100,2.62
199,Tilichiki,RU,2022-01-03 19:49:14,60.4667,166.1,30.11,95,100,30.76
200,Clyde River,CA,2022-01-03 19:49:14,70.4692,-68.5914,-0.17,85,100,27.63
201,Kogota,JP,2022-01-03 19:49:14,38.55,141.05,28.83,97,98,3.62
202,Saint-Francois,FR,2022-01-03 19:49:14,46.4154,3.9054,53.04,71,0,8.05
203,Matamoros,MX,2022-01-03 19:49:15,25.5333,-103.25,62.11,22,0,3.04
204,Esfarayen,IR,2022-01-03 19:45:07,37.0765,57.5101,35.26,82,100,2.46
205,Dwarka,IN,2022-01-03 19:49:15,22.2394,68.9678,72.25,70,55,6.67
206,Kabalo,CD,2022-01-03 19:49:15,-6.05,26.9167,70.25,96,100,2.44
207,Lashio,MM,2022-01-03 19:49:16,22.9333,97.75,49.05,82,0,1.63
208,Talnakh,RU,2022-01-03 19:49:16,69.4865,88.3972,-30.68,91,39,6.64
209,Asau,RO,2022-01-03 19:49:16,46.4333,26.4,48.4,66,34,15.79
210,Wahiawa,US,2022-01-03 19:49:16,21.5028,-158.0236,70.12,94,75,0.0
211,Vryburg,ZA,2022-01-03 19:49:17,-26.9566,24.7284,70.95,60,99,9.48
212,Ixtapa,MX,2022-01-03 19:47:18,20.7,-105.2,88.75,43,1,8.23
213,Sao Filipe,CV,2022-01-03 19:49:17,14.8961,-24.4956,74.71,63,7,7.09
214,Narsaq,GL,2022-01-03 19:49:17,60.9167,-46.05,39.42,58,100,18.1
215,Saint-Pierre,RE,2022-01-03 19:49:18,-21.3393,55.4781,76.68,67,0,5.75
216,La Ronge,CA,2022-01-03 19:45:46,55.1001,-105.2842,-18.15,69,90,2.3
217,Bonthe,SL,2022-01-03 19:49:18,7.5264,-12.505,80.78,72,83,7.14
218,Dombarovskiy,RU,2022-01-03 19:49:18,50.7587,59.5386,0.32,97,18,10.49
219,Atasu,KZ,2022-01-03 19:49:18,48.6814,71.6433,31.21,95,100,14.18
220,Amot,NO,2022-01-03 19:49:19,59.5714,7.9877,22.5,80,32,7.0
221,Trairi,BR,2022-01-03 19:49:19,-3.2778,-39.2689,81.1,77,66,11.88
222,Kortkeros,RU,2022-01-03 19:49:19,61.8106,51.5806,0.18,98,98,4.38
223,Teahupoo,PF,2022-01-03 19:49:20,-17.8333,-149.2667,78.76,79,100,17.09
224,Penzance,GB,2022-01-03 19:49:20,50.1186,-5.5371,51.01,79,100,16.51
225,Porto Novo,BJ,2022-01-03 19:43:41,6.4965,2.6036,84.02,74,84,7.0
226,Vila Franca Do Campo,PT,2022-01-03 19:50:20,37.7167,-25.4333,57.2,73,5,7.9
227,Tazovskiy,RU,2022-01-03 19:50:20,67.4667,78.7,-12.5,98,100,14.76
228,Naze,JP,2022-01-03 19:50:21,28.3667,129.4833,56.39,64,1,9.53
229,Aswan,EG,2022-01-03 19:50:21,24.0934,32.907,59.52,59,0,9.89
230,Muyezerskiy,RU,2022-01-03 19:50:21,63.9333,31.65,5.56,93,100,3.98
231,Portland,US,2022-01-03 19:50:22,45.5234,-122.6762,41.83,93,90,1.99
232,Faanui,PF,2022-01-03 19:50:22,-16.4833,-151.75,80.35,74,100,12.28
233,Port Macquarie,AU,2022-01-03 19:50:22,-31.4333,152.9167,69.69,100,75,8.05
234,Samarai,PG,2022-01-03 19:50:22,-10.6167,150.6667,80.71,80,100,6.26
235,Chirongui,YT,2022-01-03 19:50:23,-12.9319,45.1483,78.73,67,57,2.15
236,Vardo,NO,2022-01-03 19:50:23,70.3705,31.1107,17.8,79,75,9.22
237,La Crosse,US,2022-01-03 19:50:23,43.8014,-91.2396,27.5,66,84,1.01
238,Broome,US,2022-01-03 19:50:23,42.2506,-75.833,22.69,69,1,4.0
239,Pimentel,PE,2022-01-03 19:50:24,-6.8367,-79.9342,79.09,57,0,13.8
240,Poum,NC,2022-01-03 19:50:24,-20.2333,164.0167,80.38,72,9,6.85
241,Taos,US,2022-01-03 19:47:55,36.4072,-105.5731,54.21,68,1,0.0
242,Ozernovskiy,RU,2022-01-03 19:50:25,51.5,156.5167,20.91,79,98,9.51
243,Simeykyne,UA,2022-01-03 19:50:25,48.3264,39.5337,35.47,99,100,16.37
244,Necochea,AR,2022-01-03 19:50:25,-38.5473,-58.7368,85.03,36,95,11.61
245,Hirara,JP,2022-01-03 19:50:25,24.8,125.2833,68.58,73,100,15.48
246,Erdenet,MN,2022-01-03 19:50:26,49.0333,104.0833,-2.06,84,2,4.29
247,Nagram,IN,2022-01-03 19:50:26,26.6167,81.1333,50.05,53,0,4.29
248,Tiksi,RU,2022-01-03 19:50:26,71.6872,128.8694,-20.16,99,100,5.53
249,Krasnaya Poyma,RU,2022-01-03 19:50:26,55.0014,39.08,3.43,98,100,5.35
250,Aripuana,BR,2022-01-03 19:50:27,-9.1667,-60.6333,80.64,92,66,4.45
