City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Green Valley,US,70.57,broken clouds,31.8543,-110.9937,Best Western Green Valley Inn
345,Makurdi,NG,80.33,few clouds,7.7411,8.5121,Doo Palace Hotel
348,Bambanglipuro,ID,78.76,moderate rain,-7.95,110.2833,Puri Brata
350,Itarema,BR,79.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
353,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
354,Thinadhoo,MV,81.91,overcast clouds,0.5333,72.9333,
355,Kindu,CD,71.02,light rain,-2.95,25.95,Résidence Okanda
365,Nanakuli,US,81.03,clear sky,21.3906,-158.1547,Camp Pālehua
366,Nioaque,BR,71.55,broken clouds,-21.1353,-55.83,Nioaque Novo Hotel
367,Carutapera,BR,75.29,heavy intensity rain,-1.195,-46.02,Lidera
368,Coreau,BR,77.32,overcast clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
379,Samarai,PG,82.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
382,Accra,GH,82.27,broken clouds,5.556,-0.1969,Accra City Hotel
388,Petatlan,MX,85.8,broken clouds,17.5167,-101.2667,Hotel California Petatlán
395,Lorengau,PG,82.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
400,Amahai,ID,83.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
401,Harper,LR,79.59,broken clouds,4.375,-7.7169,Screensaver
405,Cairns,AU,85.95,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
407,Evans,US,70.0,overcast clouds,33.5337,-82.1307,Evans hide out
408,Fayaoue,NC,81.0,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
410,Codrington,AU,74.52,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
411,Punta Cardon,VE,77.34,few clouds,11.6581,-70.215,Bambuda hotel
415,Coihueco,CL,70.66,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
419,Antalaha,MG,74.61,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
423,Porto Novo,BJ,79.63,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
426,Yenagoa,NG,77.95,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
427,Kieta,PG,86.52,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
430,Rach Gia,VN,75.15,few clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
432,Bandarbeyla,SO,75.49,scattered clouds,9.4942,50.8122,JABIR HOTEL
433,Umm Lajj,SA,73.67,overcast clouds,25.0213,37.2685,Moon light Furnished Units
437,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
439,Marabba,SD,82.45,overcast clouds,12.35,32.1833,
442,Songkhla,TH,73.45,broken clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
447,Monte Alegre,BR,73.81,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
452,La Primavera,CO,81.43,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
454,Pochutla,MX,80.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
455,Loa Janan,ID,76.17,broken clouds,-0.583,117.095,Kost bu jono
